,P_NAME,P_RADIUS,P_MASS,P_ESCAPE,P_TEMP_SURF
3422,Kepler-292 c,1.46851,2.7619253,1.3714106,1117.1576
3423,Kepler-292 d,2.23079,5.5937729,1.5835182,908.7957
3425,Kepler-292 f,2.3541,6.1340805,1.6142183,631.11887
3440,Kepler-298 b,1.96175,4.5131576,1.5167654,667.07663
3441,Kepler-298 c,1.92812,4.3860264,1.5082335,511.62442
3442,Kepler-298 d,2.49983,6.8015193,1.6494826,341.64164
3460,Kepler-304 c,2.17474,5.3395104,1.5669208,845.812
3462,Kepler-304 e,1.19947,1.8688287,1.2482169,1290.4071
3466,Kepler-305 e,1.7936,3.8775016,1.4703245,1129.1048
3467,Kepler-306 b,1.52456,2.9240176,1.3848978,982.28094
3468,Kepler-306 c,2.3541,6.1340805,1.6142183,848.56149
3469,Kepler-306 d,2.4662,6.6743881,1.6450973,634.05962
3470,Kepler-306 e,2.27563,5.7844697,1.59434,461.00729
3493,Kepler-316 b,1.06495,1.1982116,1.0607234,1021.6187
3494,Kepler-316 c,1.15463,1.6558839,1.1975496,697.03843
3515,Kepler-324 b,1.14342,1.5541789,1.1658633,1077.6698
3517,Kepler-324 e,2.04022,4.7992028,1.5337199,735.30679
3521,Kepler-326 b,1.52456,44.49592,5.4024137,1469.4193
3522,Kepler-326 c,1.40125,17.48054,3.5319912,1163.9535
3523,Kepler-326 d,1.21068,6.9922161,2.4032156,1023.1722
3529,Kepler-329 b,1.40125,2.542624,1.3470486,666.12511
3530,Kepler-329 c,1.92812,4.3860264,1.5082335,489.41976
3536,Kepler-330 b,1.3452,2.3900666,1.332943,814.5919
3537,Kepler-330 c,1.95054,4.449592,1.5103676,655.00064
3538,Kepler-331 b,1.81602,3.97285,1.479077,718.64439
3539,Kepler-331 c,1.83844,4.0364156,1.4817441,565.42638
3540,Kepler-331 d,1.63666,3.337194,1.427945,459.48587
3541,Kepler-332 b,1.16584,1.7067364,1.2099398,777.00122
3542,Kepler-332 c,1.08737,1.3221645,1.1026916,608.86119
3543,Kepler-332 d,1.17705,1.7575889,1.2219718,472.86788
3544,Kepler-333 b,1.32278,28.286692,4.6243135,571.75648
3545,Kepler-333 c,1.10979,1.4111563,1.1276314,458.99065
3578,Kepler-345 b,0.73986,0.49898996,0.82124196,842.265
3579,Kepler-345 c,1.19947,2.1993698,1.3541115,779.78586
3595,Kepler-352 b,0.86317,0.56573385,0.80957653,769.59326
3596,Kepler-352 c,1.24431,2.0690603,1.2895028,653.17524
3597,Kepler-352 d,0.80712,0.44813748,0.74513777,875.3627
3598,Kepler-353 b,0.88559,0.63883429,0.84933252,643.33271
3599,Kepler-353 c,1.37883,2.4790584,1.3408741,569.85458
3600,Kepler-354 b,1.83844,4.0364156,1.4817441,820.86897
3601,Kepler-354 c,1.31157,2.2692919,1.3153746,562.49906
3602,Kepler-354 d,1.24431,2.0690603,1.2895028,499.22266
3607,Kepler-357 b,1.83844,4.0364156,1.4817441,832.33938
3632,Kepler-367 b,1.30036,2.2406874,1.3126799,449.90694
3633,Kepler-367 c,1.19947,1.8688287,1.2482169,401.01485
3660,Kepler-378 b,0.75107,0.34643252,0.67915534,589.67363
3661,Kepler-378 c,0.69502,0.2701538,0.62345755,484.35822
3672,Kepler-383 b,1.32278,2.3010747,1.3189294,624.60998
3673,Kepler-383 c,1.24431,2.0690603,1.2895028,464.20145
3679,Kepler-386 b,1.39004,2.5108412,1.3439898,736.77538
3680,Kepler-386 c,1.58061,3.121071,1.4052043,579.83559
3683,Kepler-388 b,0.80712,0.45767232,0.75302305,1177.7944
3684,Kepler-388 c,0.86317,0.56573385,0.80957653,732.78951
3688,Kepler-390 b,0.81833,0.476742,0.76326873,921.53968
3689,Kepler-390 c,0.7847,0.41635468,0.72841671,739.28183
3699,Kepler-395 b,1.03132,1.0806152,1.0236201,585.87613
3700,Kepler-395 c,1.32278,2.3010747,1.3189294,343.94111
3705,Kepler-398 b,0.93043,0.75007409,0.89786332,859.99194
3706,Kepler-398 c,1.0089,1.0075148,0.99931326,611.59101
3707,Kepler-398 d,0.88559,0.61340805,0.83225877,725.6488
3737,Kepler-411 b,2.39894,25.601046,3.2667745,1063.2201
3745,Kepler-415 b,1.21068,119.82116,9.9483732,877.03297
3746,Kepler-415 c,2.25321,4.7038544,1.4448611,686.63876
3750,Kepler-417 c,2.6904,7.6914377,1.6908121,657.23178
3779,Kepler-436 c,2.33168,6.0387321,1.6093052,555.09388
3780,Kepler-437 b,2.1299,5.2123792,1.5643661,345.75114
3784,Kepler-440 b,1.9057,4.131764,1.4724498,307.83897
3785,Kepler-441 b,1.6815,3.337194,1.4087771,196.2721
3786,Kepler-442 b,1.3452,2.3582838,1.3240507,263.06654
3787,Kepler-443 b,2.3541,6.0387321,1.6016235,278.82944
3790,Kepler-444 d,0.52687,0.20023164,0.61647379,917.82095
3792,Kepler-444 f,0.73986,0.33054112,0.66840236,786.81843
3837,Kepler-475 b,2.48862,6.7697365,1.6493263,1102.7683
3839,Kepler-477 b,2.07385,4.926334,1.5412506,769.50515
3841,Kepler-479 b,2.11869,5.1488136,1.5589058,721.15319
3842,Kepler-48 b,1.88328,3.9410672,1.4466034,1060.239
3844,Kepler-48 d,2.04022,7.9457001,1.9734566,510.32701
3848,Kepler-482 b,2.36531,6.1658633,1.6145552,418.8519
3869,Kepler-496 b,2.32047,6.0069493,1.6089369,828.53416
3895,Kepler-515 b,1.4573,2.7301425,1.3687312,658.4998
3899,Kepler-519 b,2.09627,5.0534652,1.5526409,594.26009
3938,Kepler-543 b,2.49983,6.8015193,1.6494826,634.75727
3946,Kepler-55 b,2.43257,42.90678,4.1998163,464.63597
3947,Kepler-55 c,2.20837,69.922161,5.6269298,405.162
3948,Kepler-55 d,1.59182,3.1560321,1.4080683,1088.9846
3949,Kepler-55 e,1.54698,3.0225443,1.3977966,846.44765
3950,Kepler-55 f,1.59182,3.1560321,1.4080683,651.5957
3960,Kepler-558 b,2.36531,6.1976461,1.6187111,549.96848
3972,Kepler-566 b,2.15232,5.2759448,1.5656573,602.61161
3973,Kepler-567 b,2.25321,5.6891213,1.5889922,648.55196
4000,Kepler-589 b,2.27563,5.7844697,1.59434,681.32626
4010,Kepler-595 c,1.0089,3.2990547,1.8083009,751.09343
4021,Kepler-601 b,1.9057,4.2588952,1.4949312,950.33496
4030,Kepler-607 b,0.87438,0.59116009,0.82224728,1987.4849
4034,Kepler-61 b,2.15232,5.2759448,1.5656573,328.65176
4040,Kepler-614 b,2.38773,6.2929945,1.6234393,705.80625
4041,Kepler-615 b,1.73755,3.6868048,1.456654,661.47168
4055,Kepler-621 b,2.29805,5.9116009,1.6038835,1055.6984
4056,Kepler-622 b,2.1299,5.1805964,1.5595894,560.14607
4101,Kepler-658 b,1.62545,3.3054112,1.4260211,1250.6673
4102,Kepler-659 b,2.49983,6.8015193,1.6494826,612.57247
4106,Kepler-662 b,2.17474,5.403076,1.5762201,624.69696
4119,Kepler-674 b,1.69271,3.496108,1.4371468,1020.0975
4120,Kepler-675 b,2.44378,6.5154741,1.6328337,1192.0076
4157,Kepler-707 b,1.33399,2.3296793,1.321514,1196.1318
4168,Kepler-716 c,1.39004,2.5203761,1.3465393,1003.672
4211,Kepler-753 b,1.9057,4.3224608,1.5060461,752.53004
4213,Kepler-755 b,1.75997,3.7503704,1.4597701,1511.8679
4214,Kepler-755 c,1.25552,2.1262693,1.3013596,1154.4834
4215,Kepler-756 b,1.121,1.4588305,1.140774,1582.1537
4227,Kepler-763 b,1.22189,1.9832467,1.2740085,1658.0354
4232,Kepler-768 b,1.7936,3.8457188,1.4642862,725.39876
4244,Kepler-776 b,1.27794,2.1834784,1.3071313,978.29509
4245,Kepler-777 b,1.46851,2.7619253,1.3714106,723.41422
4246,Kepler-778 b,1.6815,3.4643252,1.4353602,1065.7899
4256,Kepler-786 b,2.43257,6.4836913,1.6325951,407.4938
4257,Kepler-787 b,1.27794,2.1834784,1.3071313,1363.0825
4264,Kepler-790 b,2.17474,5.403076,1.5762201,709.26746
4278,Kepler-80 d,1.52456,6.7506668,2.1042681,957.63332
4279,Kepler-80 e,1.60303,4.1285858,1.6048329,833.54677
4280,Kepler-80 f,1.21068,1.9260377,1.261298,1396.2131
4281,Kepler-80 g,1.13221,1.5065047,1.153511,557.67871
4283,Kepler-801 b,1.99538,4.6720716,1.5301779,644.59533
4291,Kepler-808 b,1.4573,2.7301425,1.3687312,1801.9458
4312,Kepler-821 b,1.31157,2.2692919,1.3153746,1370.1614
4320,Kepler-828 b,1.51335,2.8890565,1.3816827,1882.6332
4328,Kepler-833 b,2.0178,4.7356372,1.5319696,540.08095
4329,Kepler-834 b,2.0178,4.7356372,1.5319696,638.21512
4341,Kepler-842 b,1.60303,3.17828,1.4080733,1416.3012
4343,Kepler-844 b,1.6815,3.4643252,1.4353602,980.87257
4344,Kepler-845 b,2.04022,4.8309856,1.5387901,1557.7446
4346,Kepler-847 b,1.17705,1.7575889,1.2219718,1210.7806
4363,Kepler-861 b,2.27563,5.8162525,1.5987141,1045.7557
4368,Kepler-866 b,1.62545,3.3054112,1.4260211,1053.9178
4380,Kepler-876 b,1.43488,2.6347941,1.3550819,1010.845
4381,Kepler-877 b,2.11869,5.1488136,1.5589058,654.7599
4382,Kepler-878 b,1.92812,4.3860264,1.5082335,640.80921
4401,Kepler-895 b,1.53577,2.9875832,1.3947518,971.70357
4404,Kepler-898 b,1.49093,2.8254909,1.3766335,744.7705
4410,Kepler-900 b,2.08506,4.9898996,1.5469869,778.10075
4411,Kepler-901 b,1.36762,2.4504539,1.3385683,839.89466
4425,Kepler-913 b,2.06264,4.8945512,1.5404398,770.06101
4429,Kepler-916 b,1.75997,3.7503704,1.4597701,564.69643
4442,Kepler-925 b,2.34289,6.0705149,1.6096699,456.80633
4445,Kepler-928 b,1.59182,3.1560321,1.4080683,902.67047
4450,Kepler-931 b,1.33399,2.3296793,1.321514,877.21546
4453,Kepler-934 b,2.08506,5.0216824,1.5519058,423.8315
4454,Kepler-935 b,1.3452,2.3900666,1.332943,867.59175
4464,Kepler-942 b,2.1299,5.1805964,1.5595894,428.59363
4478,Kepler-954 b,2.32047,6.0069493,1.6089369,602.60082
4485,Kepler-960 b,2.28684,5.8480353,1.5991423,984.51095
4492,Kepler-967 b,2.3541,6.1340805,1.6142183,593.86195
4494,Kepler-968 b,1.99538,4.6720716,1.5301779,940.25558
4495,Kepler-968 c,1.69271,3.496108,1.4371468,813.24059
4496,Kepler-969 b,2.07385,4.926334,1.5412506,510.85053
4497,Kepler-969 c,0.98648,0.93759261,0.97490645,1394.557
4503,Kepler-973 b,1.96175,4.5131576,1.5167654,471.31032
4505,Kepler-975 b,1.47972,2.7937081,1.3740443,1230.9755
4519,Kepler-988 b,2.07385,4.926334,1.5412506,478.08581
4520,Kepler-989 b,2.20837,5.5302073,1.5824674,830.56321
4521,Kepler-99 b,1.47972,6.0387321,2.0201476,916.08702
4525,Kepler-992 b,1.62545,3.2418456,1.4122428,566.34417
4527,Kepler-994 b,1.60303,3.17828,1.4080733,1122.6234
4749,TOI-1064 c,2.65677,2.5013064,0.97030097,654.30052
4750,TOI-1075 b,1.7936,9.9511948,2.355455,1383.3402
4768,TOI-1260 b,2.34289,8.6004258,1.9159494,918.29068
4782,TOI-1411 b,1.35641,2.4186711,1.3353433,1141.8441
4813,TOI-178 b,1.15463,1.5001482,1.1398446,1074.3609
4814,TOI-178 c,1.67029,4.7705983,1.6900147,901.81999
4816,TOI-178 e,2.20837,3.858432,1.3218114,619.92598
4817,TOI-178 f,2.28684,7.7200422,1.8373502,538.1619
4820,TOI-1807 b,1.25552,2.5712285,1.4310622,2169.9149
4854,TOI-2411 b,1.6815,3.4643252,1.4353602,1452.2436
4856,TOI-2427 b,1.80481,3.9092844,1.4717461,1177.0503
4882,TOI-431 b,1.27794,3.0702185,1.5499918,1955.1564
4883,TOI-431 c,1.49093,2.8286692,1.3774075,911.42104
4891,TOI-500 b,1.16584,1.4206912,1.1039016,1763.0796
4892,TOI-500 c,2.09627,5.0312173,1.5492194,768.97047
4903,TOI-544 b,2.02901,4.76742,1.5328498,1081.7673
4921,TOI-712 b,2.05143,4.8627684,1.5396196,658.81731
4923,TOI-712 d,2.47741,6.6743881,1.6413711,324.16588
4930,TOI-833 b,1.26673,2.1548739,1.3042742,1160.7072
5163,Wolf 503 b,2.04022,6.2612117,1.7518249,807.27481
