,P_NAME,P_RADIUS,P_MASS,P_ESCAPE,P_TEMP_SURF
1994,Kepler-1096 b,1.24431,2.0690603,1.2895028,962.12447
2011,Kepler-1105 b,2.00659,4.7038544,1.5310791,769.50291
2013,Kepler-1107 b,1.3452,2.3582838,1.3240507,2016.2085
2030,Kepler-1120 b,1.37883,2.4790584,1.3408741,1067.7204
2041,Kepler-113 b,1.81602,11.759636,2.5447002,921.76213
2047,Kepler-1132 b,2.3541,6.1340805,1.6142183,431.22019
2051,Kepler-1136 b,1.63666,3.337194,1.427945,1018.322
2061,Kepler-1143 b,1.67029,3.4325424,1.4335473,1043.5993
2064,Kepler-1145 b,1.40125,2.542624,1.3470486,1026.2871
2065,Kepler-1146 b,1.2331,2.0404558,1.2863657,1102.882
2067,Kepler-1148 b,1.69271,3.496108,1.4371468,1545.759
2071,Kepler-1150 b,1.02011,1.0424758,1.010903,1003.319
2073,Kepler-1152 b,0.87438,0.59116009,0.82224728,1024.6329
2079,Kepler-1157 b,1.08737,1.3221645,1.1026916,921.68329
2085,Kepler-1161 b,2.1299,5.1805964,1.5595894,705.60669
2088,Kepler-1164 b,1.121,1.4588305,1.140774,1069.7015
2092,Kepler-1167 b,1.71513,3.5596736,1.4406436,1597.5398
2093,Kepler-1168 b,2.49983,6.8015193,1.6494826,410.94636
2097,Kepler-1170 b,2.41015,6.3883429,1.6280662,798.41628
2100,Kepler-1173 b,0.88559,0.63883429,0.84933252,1787.6023
2105,Kepler-1178 b,1.06495,1.2395292,1.0788567,614.05076
2106,Kepler-1179 b,1.32278,2.3010747,1.3189294,1197.9334
2107,Kepler-118 b,1.96175,4.5131576,1.5167654,857.15486
2121,Kepler-1190 b,1.33399,2.3296793,1.321514,651.31693
2126,Kepler-1195 b,2.08506,4.9898996,1.5469869,826.04253
2128,Kepler-1197 b,1.25552,2.0976648,1.2925764,1165.6751
2134,Kepler-1200 b,1.06495,1.1982116,1.0607234,1411.373
2137,Kepler-1203 b,1.06495,1.1982116,1.0607234,1648.2318
2139,Kepler-1205 b,1.41246,2.5712285,1.3492184,1615.6329
2140,Kepler-1206 b,1.63666,3.337194,1.427945,1420.2758
2142,Kepler-1208 b,2.32047,6.0069493,1.6089369,697.20152
2150,Kepler-1214 b,2.36531,6.1658633,1.6145552,631.85254
2162,Kepler-1221 b,1.88328,4.1953296,1.4925387,779.21377
2163,Kepler-1222 b,0.7847,0.41635468,0.72841671,1316.2736
2164,Kepler-1223 b,1.22189,1.9832467,1.2740085,611.89707
2169,Kepler-1228 b,1.53577,2.9875832,1.3947518,1869.6732
2183,Kepler-124 b,0.72865,0.31464972,0.65713438,1113.4954
2184,Kepler-124 c,1.74876,3.7185876,1.4582229,695.37764
2185,Kepler-124 d,1.10979,1.4111563,1.1276314,533.3303
2188,Kepler-1242 b,2.26442,5.7209041,1.5894755,663.22814
2193,Kepler-1246 b,1.35641,2.4186711,1.3353433,650.16381
2203,Kepler-1254 b,1.54698,3.0225443,1.3977966,717.21311
2204,Kepler-1254 c,1.30036,2.2406874,1.3126799,1007.6611
2205,Kepler-1254 d,1.31157,2.2692919,1.3153746,863.25042
2210,Kepler-1259 b,1.43488,2.6347941,1.3550819,2000.3738
2215,Kepler-1261 b,2.26442,5.7209041,1.5894755,435.5337
2217,Kepler-1263 b,1.14342,1.5541789,1.1658633,1014.8934
2219,Kepler-1265 b,1.3452,2.3900666,1.332943,777.31135
2221,Kepler-1266 c,1.6815,3.4643252,1.4353602,929.97023
2244,Kepler-1284 b,1.21068,1.9260377,1.261298,1916.6936
2254,Kepler-1291 b,1.65908,3.4007596,1.4317075,787.86533
2267,Kepler-1301 b,1.40125,2.542624,1.3470486,825.8324
2268,Kepler-1302 b,1.43488,2.6347941,1.3550819,779.89683
2270,Kepler-1304 b,2.28684,5.8480353,1.5991423,1198.86
2275,Kepler-1309 b,2.36531,6.1976461,1.6187111,496.24412
2286,Kepler-1315 b,1.37883,2.4790584,1.3408741,1569.9178
2287,Kepler-1315 c,1.84965,4.0681984,1.4830517,792.28372
2289,Kepler-1317 b,1.55819,3.0543271,1.400063,2003.8524
2296,Kepler-1320 b,1.70392,3.5278908,1.4389078,1481.2451
2298,Kepler-1321 c,2.39894,6.3565601,1.6278013,1072.0501
2303,Kepler-1324 b,1.51335,2.8890565,1.3816827,904.74827
2308,Kepler-1329 b,2.17474,5.3395104,1.5669208,675.39901
2312,Kepler-1331 b,1.05374,1.1568939,1.047804,1430.7921
2316,Kepler-1335 b,1.44609,2.6983597,1.3660049,842.9138
2319,Kepler-1337 b,2.41015,6.3883429,1.6280662,494.46861
2331,Kepler-1347 b,1.03132,1.0806152,1.0236201,713.5987
2338,Kepler-1351 b,0.65018,0.2065882,0.56368432,1308.1526
2340,Kepler-1353 b,1.80481,3.9092844,1.4717461,516.26776
2343,Kepler-1356 b,1.52456,2.9558004,1.3924041,1865.0963
2345,Kepler-1358 b,1.121,1.4588305,1.140774,885.66361
2350,Kepler-1361 b,0.86317,0.56573385,0.80957653,1077.6608
2352,Kepler-1363 b,1.25552,2.0976648,1.2925764,1053.2159
2356,Kepler-1366 b,1.43488,2.6347941,1.3550819,981.49795
2357,Kepler-1367 b,0.91922,0.72146957,0.88592973,1112.4096
2360,Kepler-137 b,1.46851,2.7619253,1.3714106,876.44639
2361,Kepler-137 c,1.88328,4.1953296,1.4925387,674.52654
2371,Kepler-1377 b,1.25552,2.0976648,1.2925764,1965.0563
2372,Kepler-1378 b,2.19716,5.4666417,1.577355,575.10757
2373,Kepler-1379 b,1.30036,2.2406874,1.3126799,1744.7076
2381,Kepler-1384 b,1.93933,4.4178092,1.5093071,628.71167
2384,Kepler-1387 b,0.93043,0.75007409,0.89786332,1183.8314
2386,Kepler-1388 c,2.26442,5.7209041,1.5894755,667.78559
2388,Kepler-1388 e,2.45499,6.6108225,1.6409785,352.65296
2389,Kepler-1389 b,1.77118,3.7821532,1.461296,340.15069
2406,Kepler-1400 b,1.62545,3.2418456,1.4122428,742.92253
2410,Kepler-1404 b,2.00659,4.7038544,1.5310791,687.77693
2415,Kepler-1409 b,1.04253,1.1187546,1.0359126,1830.4123
2416,Kepler-141 b,0.69502,0.25744068,0.6086112,1127.0376
