,P_NAME,P_RADIUS,P_DENSITY,P_ESCAPE,P_TEMP_SURF
2149,Kepler-1213 b,1.18826,1.0797733,1.2347464,1433.2893
2150,Kepler-1214 b,2.36531,0.46593966,1.6145552,631.85254
2151,Kepler-1215 b,1.22189,1.0871273,1.2740085,1127.5966
2152,Kepler-1216 b,1.39004,0.93484014,1.3439898,1317.1555
2153,Kepler-1217 b,1.99538,0.58007388,1.5197329,1673.4468
2154,Kepler-1218 b,1.43488,0.90262502,1.3632304,896.60745
2155,Kepler-1219 b,2.11869,0.54138338,1.5589058,1302.0648
2156,Kepler-122 b,2.34289,0.47203024,1.6096699,1328.5587
2158,Kepler-122 d,2.19716,0.51538948,1.577355,853.69919
2161,Kepler-1220 b,1.52456,0.82517568,1.3848978,1077.3894
2162,Kepler-1221 b,1.88328,0.62808931,1.4925387,779.21377
2163,Kepler-1222 b,0.7847,0.86169286,0.72841671,1316.2736
2164,Kepler-1223 b,1.22189,1.0871273,1.2740085,611.89707
2165,Kepler-1224 b,1.33399,0.98138272,1.321514,997.83276
2166,Kepler-1225 b,1.81602,0.66334626,1.479077,1255.1439
2167,Kepler-1226 b,1.44609,0.89230613,1.3660049,958.94049
2168,Kepler-1227 b,2.28684,0.48899299,1.5991423,410.67939
2169,Kepler-1228 b,1.53577,0.82478636,1.3947518,1869.6732
2170,Kepler-1229 b,1.40125,0.92413467,1.3470486,217.1332
2172,Kepler-123 c,1.47972,0.86226826,1.3740443,856.31082
2174,Kepler-1231 b,1.42367,0.90208623,1.3521764,964.37873
2175,Kepler-1232 b,1.92812,0.61188395,1.5082335,572.10106
2178,Kepler-1235 b,0.7847,0.86169286,0.72841671,1186.9433
2179,Kepler-1236 b,2.14111,0.53103001,1.5602655,544.78213
2181,Kepler-1238 b,1.92812,0.61188395,1.5082335,1731.299
2183,Kepler-124 b,0.72865,0.81333684,0.65713438,1113.4954
2184,Kepler-124 c,1.74876,0.69532426,1.4582229,695.37764
2185,Kepler-124 d,1.10979,1.0324112,1.1276314,533.3303
2186,Kepler-1240 b,1.15463,1.0426895,1.1790178,1386.0954
2188,Kepler-1242 b,2.26442,0.49271265,1.5894755,663.22814
2189,Kepler-1243 b,1.74876,0.69532426,1.4582229,705.4657
2190,Kepler-1244 b,1.3452,0.98185966,1.332943,2326.049
2191,Kepler-1245 b,1.43488,0.90262502,1.3632304,1032.2812
2192,Kepler-1245 c,1.43488,0.90262502,1.3632304,1177.4684
2193,Kepler-1246 b,1.35641,0.9691787,1.3353433,650.16381
2194,Kepler-1247 b,2.33168,0.47636398,1.6093052,714.18109
2195,Kepler-1248 b,1.17705,1.077786,1.2219718,1187.9638
2196,Kepler-1249 b,2.37652,0.466481,1.6231492,900.76704
2197,Kepler-125 b,2.36531,0.46834141,1.6187111,661.57455
2198,Kepler-125 c,0.73986,0.8161629,0.66840236,593.17881
2199,Kepler-1250 b,1.91691,0.61816947,1.5071466,1768.1717
2200,Kepler-1251 b,1.83844,0.64960221,1.4817441,529.26121
2201,Kepler-1252 b,1.67029,0.73661451,1.4335473,813.13254
2202,Kepler-1253 b,1.33399,0.98138272,1.321514,626.96099
2203,Kepler-1254 b,1.54698,0.81642929,1.3977966,717.21311
2204,Kepler-1254 c,1.30036,1.0190382,1.3126799,1007.6611
2205,Kepler-1254 d,1.31157,1.00581,1.3153746,863.25042
2206,Kepler-1255 b,2.32047,0.48075752,1.6089369,727.70966
2207,Kepler-1256 b,1.49093,0.85255451,1.3766335,1129.0264
2208,Kepler-1257 b,1.52456,0.82517568,1.3848978,1372.0717
2209,Kepler-1258 b,0.86317,0.87967681,0.80957653,2142.2625
2210,Kepler-1259 b,1.43488,0.89186668,1.3550819,2000.3738
2211,Kepler-126 b,1.52456,0.82517568,1.3848978,1185.8232
2212,Kepler-126 c,1.58061,0.79036822,1.4052043,925.17476
2213,Kepler-126 d,2.49983,0.43538604,1.6494826,557.59755
2214,Kepler-1260 b,1.77118,0.68069258,1.461296,1024.9133
2215,Kepler-1261 b,2.26442,0.49271265,1.5894755,435.5337
2216,Kepler-1262 b,1.81602,0.66334626,1.479077,940.1165
