,P_NAME,P_RADIUS,P_MASS,P_ESCAPE,P_TEMP_SURF,S_TEMPERATURE,S_RADIUS,S_MASS,S_LUMINOSITY
1703,K2-68 b,1.58061,3.121071,1.4052043,734.01357,4746.0,0.68,0.73,0.21232445
1704,K2-69 b,2.32047,6.0069493,1.6089369,542.22181,4127.0,0.49,0.55,0.044055486
1707,K2-71 b,2.15232,5.2759448,1.5656573,507.59206,4006.0,0.43,0.48,0.030269134
1708,K2-72 b,1.07616,1.2808469,1.0909634,499.29961,3360.47,0.33,0.27,0.014554591
1709,K2-72 c,1.15463,1.6558839,1.1975496,357.55588,3360.47,0.33,0.27,0.014554591
1710,K2-72 d,1.0089,1.0075148,0.99931326,446.58715,3360.47,0.33,0.27,0.014554591
1711,K2-72 e,1.28915,2.2120829,1.3099327,306.71731,3360.47,0.33,0.27,0.014554591
1712,K2-73 b,2.45499,6.5790397,1.6370291,1088.9846,5922.0,1.06,1.05,1.191242
1713,K2-74 b,2.30926,5.9433837,1.6042811,795.42038,6060.0,0.98,0.96,1.1481536
1719,K2-8 c,2.41015,6.3883429,1.6280662,891.79473,4870.0,0.74,0.78,0.26121614
1720,K2-80 b,2.00659,4.7038544,1.5310791,610.66613,5441.0,0.87,0.9,0.36982818
1721,K2-80 c,1.46851,2.7619253,1.3714106,919.06788,5441.0,0.87,0.9,0.36982818
1723,K2-81 b,1.97296,4.5449404,1.5177665,853.48695,4674.13,0.63,0.75,0.26977394
1724,K2-83 b,1.24431,2.0785951,1.2924706,828.44928,3910.0,0.42,0.48,0.062517269
1725,K2-83 c,1.47972,2.803243,1.3763871,538.63885,3910.0,0.42,0.48,0.062517269
1726,K2-84 b,2.41015,6.3883429,1.6280662,874.60085,5652.0,0.93,0.95,0.37757219
1727,K2-84 c,2.02901,4.76742,1.5328498,536.38866,5652.0,0.93,0.95,0.37757219
1728,K2-85 b,1.19947,1.8688287,1.2482169,1575.4732,4427.0,0.68,0.68,0.15417005
1729,K2-86 b,1.96175,4.5131576,1.5167654,830.28149,5482.0,0.76,0.79,0.41114972
1731,K2-88 b,1.2331,2.0404558,1.2863657,633.78547,3537.0,0.26,0.26,0.028510183
1732,K2-89 b,0.61655,0.16844884,0.52269683,1106.9617,3691.0,0.32,0.35,0.047097733
1733,K2-9 b,2.25321,5.6891213,1.5889922,315.64581,3390.0,0.31,0.3,0.011994993
1735,K2-90 c,1.30036,2.2406874,1.3126799,878.91578,4421.98,0.63,0.7,0.10764652
1736,K2-91 b,1.09858,1.3666604,1.1153585,778.17712,3622.0,0.28,0.29,0.014421154
1777,KIC 8540376 c,2.39894,6.3565601,1.6278013,563.92467,6474.0,1.26,1.04,1.840772
1824,KOI-1599.01,1.9057,4.5989712,1.5534707,822.98799,5833.0,0.97,1.02,1.4521116
