,P_NAME,P_RADIUS,P_MASS,P_ESCAPE,P_TEMP_SURF,S_TEMPERATURE,S_RADIUS,S_MASS,S_LUMINOSITY
1960,Kepler-1072 b,1.58061,3.121071,1.4052043,2164.4352,6199.0,1.32,1.2,2.3173946
1961,Kepler-1073 b,2.29805,5.9116009,1.6038835,1008.2606,5792.0,1.0,1.0,0.97723722
1962,Kepler-1073 c,1.63666,3.337194,1.427945,1301.6588,5792.0,1.0,1.0,0.97723722
1963,Kepler-1073 d,1.49093,2.8191344,1.3750841,1524.7526,5509.0,1.12,0.92,0.97723722
1964,Kepler-1074 b,1.25552,2.0976648,1.2925764,651.83597,4002.0,0.57,0.6,0.07568329
1965,Kepler-1075 b,1.42367,2.6030113,1.3521764,1051.209,3959.0,0.54,0.56,0.077090347
1966,Kepler-1076 b,0.79591,0.43542436,0.7396468,844.69537,4868.0,0.74,0.79,0.27733201
1968,Kepler-1078 b,1.9057,4.2588952,1.4949312,1947.8471,5612.0,0.92,0.94,3.1622777
1969,Kepler-1079 b,1.62545,3.3054112,1.4260211,1012.9999,5758.0,1.36,1.08,1.8323144
1973,Kepler-1081 b,1.0089,1.0075148,0.99931326,1117.5778,5345.0,0.84,0.88,0.49431069
1974,Kepler-1082 b,1.121,1.4588305,1.140774,2150.3253,5923.0,1.14,1.03,2.0606299
1976,Kepler-1084 b,1.10979,1.4111563,1.1276314,1849.0481,6113.0,1.28,1.12,1.7906059
1979,Kepler-1086 b,2.44378,6.5154741,1.6328337,506.68997,4350.0,0.66,0.7,0.13803843
1981,Kepler-1087 b,0.60534,0.16527056,0.52251416,2236.6079,5589.0,0.94,0.96,0.79983426
1982,Kepler-1088 b,1.42367,2.6030113,1.3521764,757.07597,5975.0,1.08,1.08,1.2302688
1983,Kepler-1089 b,1.82723,4.0046328,1.4804193,611.7057,3753.0,0.49,0.52,0.05046613
1986,Kepler-1090 b,2.25321,5.6891213,1.5889922,331.59321,5321.0,0.82,0.86,0.71449633
1988,Kepler-1091 b,1.4573,2.7301425,1.3687312,1897.8874,5851.0,1.03,1.01,1.2022644
1989,Kepler-1092 b,2.07385,4.926334,1.5412506,555.52015,5862.0,1.0,0.99,1.2473835
1990,Kepler-1093 b,1.95054,4.449592,1.5103676,913.42053,6166.0,1.2,1.13,2.8840315
1991,Kepler-1093 c,1.96175,4.5131576,1.5167654,597.34139,6166.0,1.2,1.13,2.8840315
1993,Kepler-1095 b,1.21068,1.9260377,1.261298,1202.9267,5658.0,0.92,0.94,0.80723503
1994,Kepler-1096 b,1.24431,2.0690603,1.2895028,962.12447,4306.0,0.63,0.66,0.14454398
1996,Kepler-1098 b,1.30036,2.2406874,1.3126799,1664.4824,5794.0,0.99,0.99,1.4354894
1998,Kepler-11 b,1.80481,1.906968,1.0279121,1021.8685,5663.0,1.06,0.96,1.3182567
1999,Kepler-11 c,2.86976,2.860452,0.99837695,942.45465,5663.0,1.06,0.96,1.3182567
2002,Kepler-11 f,2.48862,1.906968,0.87537152,616.58947,5663.0,1.06,0.96,1.3182567
2004,Kepler-110 b,1.82723,4.0046328,1.4804193,1031.0479,5960.0,1.15,1.07,1.8879913
2005,Kepler-110 c,2.20837,5.5302073,1.5824674,757.94575,5960.0,1.15,1.07,1.8879913
2006,Kepler-1100 b,1.74876,3.7185876,1.4582229,1157.2912,6247.0,1.34,1.21,1.2246162
2007,Kepler-1101 b,2.4662,6.6743881,1.6450973,398.33089,5614.0,0.91,0.94,0.44565625
2009,Kepler-1103 b,2.27563,5.7844697,1.59434,1012.4401,6092.0,1.15,1.11,3.3265955
2010,Kepler-1104 b,1.2331,2.0404558,1.2863657,1543.4441,6417.0,1.41,1.3,3.2658783
2011,Kepler-1105 b,2.00659,4.7038544,1.5310791,769.50291,4299.0,0.68,0.71,0.11350108
2012,Kepler-1106 b,1.64787,3.3689768,1.4298403,2039.4909,6104.0,1.17,1.11,1.4421154
2013,Kepler-1107 b,1.3452,2.3582838,1.3240507,2016.2085,5268.0,0.82,0.86,0.38282474
2014,Kepler-1108 b,1.4573,2.7301425,1.3687312,1097.1355,5406.0,0.84,0.88,0.55207744
2015,Kepler-1109 b,2.18595,5.4348589,1.5767906,554.59274,5893.0,1.06,1.05,0.83945999
2016,Kepler-111 b,1.58061,3.121071,1.4052043,1500.8656,5952.0,1.16,1.17,1.5667511
2019,Kepler-1111 b,1.99538,4.6720716,1.5301779,925.15069,6077.0,1.15,1.1,0.81283052
2022,Kepler-1114 b,1.3452,2.3900666,1.332943,732.20033,5374.0,0.83,0.87,0.50933087
2023,Kepler-1115 b,1.70392,3.5278908,1.4389078,1281.9572,8480.0,1.73,1.6,17.947336
2025,Kepler-1117 b,1.10979,1.4111563,1.1276314,1082.3666,5612.0,0.93,0.95,0.59703529
2027,Kepler-1119 b,1.91691,4.3542436,1.5071466,1335.6501,6083.0,1.17,1.11,3.0619634
2028,Kepler-112 b,2.36531,6.1658633,1.6145552,993.26224,5544.0,0.84,0.78,0.82035154
2029,Kepler-112 c,2.39894,6.3565601,1.6278013,660.24709,5544.0,0.84,0.78,0.82035154
2030,Kepler-1120 b,1.37883,2.4790584,1.3408741,1067.7204,4904.0,0.74,0.78,0.25822602
2031,Kepler-1121 b,1.9057,4.3224608,1.5060461,1097.7296,6231.0,1.59,1.29,2.9853826
2032,Kepler-1122 b,2.04022,4.8309856,1.5387901,618.65029,5544.0,0.89,0.92,1.1455129
2033,Kepler-1123 b,1.67029,3.4325424,1.4335473,1089.0367,5500.0,0.9,0.93,0.50699071
2034,Kepler-1124 b,1.27794,2.1834784,1.3071313,769.25584,3658.0,0.34,0.35,0.047533523
2035,Kepler-1125 b,1.83844,4.0364156,1.4817441,1137.3019,5683.0,0.94,0.95,4.4360864
2036,Kepler-1126 b,1.72634,3.655022,1.4550631,423.11275,5798.0,0.93,0.92,0.79615935
2037,Kepler-1127 b,1.96175,4.5131576,1.5167654,1051.1951,5664.0,0.95,0.97,0.5508077
2041,Kepler-113 b,1.81602,11.759636,2.5447002,921.76213,4725.0,0.69,0.75,0.26546056
2043,Kepler-1130 b,0.79591,0.43542436,0.7396468,1015.5756,5403.0,0.81,0.9,0.54954087
2044,Kepler-1130 c,0.79591,0.42271124,0.72876905,1204.4826,5450.0,0.84,0.94,0.54954087
2045,Kepler-1130 d,0.65018,0.20023164,0.5549445,1101.2742,5450.0,0.84,0.94,0.54954087
2046,Kepler-1131 b,1.59182,3.1560321,1.4080683,1321.4915,5851.0,1.04,1.03,0.93756201
2047,Kepler-1132 b,2.3541,6.1340805,1.6142183,431.22019,5298.0,0.83,0.87,0.41879357
2048,Kepler-1133 b,1.97296,4.5449404,1.5177665,813.19362,5569.0,0.9,0.93,0.616595
2050,Kepler-1135 b,1.84965,4.0681984,1.4830517,631.23946,5656.0,0.94,0.96,2.7352687
2051,Kepler-1136 b,1.63666,3.337194,1.427945,1018.322,4512.0,0.68,0.72,0.14028137
2052,Kepler-1137 b,2.19716,5.4666417,1.577355,1026.677,6807.0,1.84,1.5,5.6754461
2053,Kepler-1138 b,1.70392,3.5278908,1.4389078,1165.995,5582.0,0.92,0.95,0.46451528
2054,Kepler-1139 b,1.18826,1.8116196,1.2347464,1880.3069,5550.0,0.91,0.94,0.49659232
2055,Kepler-114 b,1.25552,6.6743881,2.3056528,842.52498,4605.0,0.67,0.77,0.20653802
2056,Kepler-114 c,1.60303,2.860452,1.3358156,761.84427,4660.0,0.54,0.56,0.20653802
2059,Kepler-1141 b,0.81833,0.476742,0.76326873,1693.6013,5791.0,1.07,1.01,1.428894
2060,Kepler-1142 b,1.46851,2.7619253,1.3714106,1009.6776,5685.0,0.96,0.97,2.7352687
2061,Kepler-1143 b,1.67029,3.4325424,1.4335473,1043.5993,5053.0,0.77,0.81,0.23823195
2063,Kepler-1144 b,1.99538,4.608506,1.5197329,827.00398,5753.0,0.96,0.98,1.1376273
2064,Kepler-1145 b,1.40125,2.542624,1.3470486,1026.2871,5064.0,0.75,0.79,0.31768741
2065,Kepler-1146 b,1.2331,2.0404558,1.2863657,1102.882,4692.0,0.7,0.74,0.22803421
2067,Kepler-1148 b,1.69271,3.496108,1.4371468,1545.759,5054.0,0.77,0.81,0.29444216
2068,Kepler-1149 b,1.43488,2.6665769,1.3632304,1454.756,5833.0,1.01,1.02,1.4621772
2069,Kepler-115 b,1.08737,1.3221645,1.1026916,1721.153,5979.0,1.21,1.07,1.6595869
2071,Kepler-1150 b,1.02011,1.0424758,1.010903,1003.319,4754.0,0.72,0.76,0.21577444
2072,Kepler-1151 b,2.21958,5.5619901,1.5829956,417.92601,5470.0,0.85,0.88,0.45498806
2073,Kepler-1152 b,0.87438,0.59116009,0.82224728,1024.6329,3964.0,0.53,0.55,0.079983426
2074,Kepler-1153 b,1.72634,3.655022,1.4550631,1468.0162,5470.0,0.88,0.91,0.519996
2075,Kepler-1154 b,2.34289,6.0705149,1.6096699,1485.7852,6327.0,1.43,1.26,2.831392
2076,Kepler-1154 c,2.36531,6.1658633,1.6145552,1261.7308,6327.0,1.43,1.26,2.831392
2077,Kepler-1155 b,2.02901,4.76742,1.5328498,660.0172,5842.0,1.03,1.03,1.1142945
2078,Kepler-1156 b,1.32278,2.3010747,1.3189294,877.56143,5778.0,1.0,1.0,0.85506671
2079,Kepler-1157 b,1.08737,1.3221645,1.1026916,921.68329,4679.0,0.71,0.76,0.2113489
2080,Kepler-1158 b,2.34289,6.0705149,1.6096699,1321.9399,6203.0,1.95,1.41,6.9183097
2081,Kepler-1159 b,2.36531,6.1976461,1.6187111,853.10789,6217.0,1.28,1.19,1.9860949
2083,Kepler-116 c,2.29805,5.9116009,1.6038835,1076.4447,6142.0,1.45,1.21,2.6363314
2084,Kepler-1160 b,2.14111,5.2123792,1.5602655,859.5027,5519.0,0.89,0.92,0.45394162
2085,Kepler-1161 b,2.1299,5.1805964,1.5595894,705.60669,4253.0,0.57,0.59,0.22233099
2086,Kepler-1162 b,2.20837,5.5302073,1.5824674,548.39555,5390.0,0.84,0.89,0.47643099
2087,Kepler-1163 b,1.03132,1.0806152,1.0236201,1380.783,6302.0,1.35,1.22,2.4888573
2088,Kepler-1164 b,1.121,1.4588305,1.140774,1069.7015,5183.0,0.79,0.85,0.3990249
2089,Kepler-1165 b,1.54698,3.0225443,1.3977966,1307.6684,6080.0,1.18,1.13,3.5645113
2091,Kepler-1166 b,1.69271,3.496108,1.4371468,558.71093,5446.0,0.86,0.9,0.55462571
2092,Kepler-1167 b,1.71513,3.5596736,1.4406436,1597.5398,4971.0,0.75,0.79,0.29107171
2093,Kepler-1168 b,2.49983,6.8015193,1.6494826,410.94636,5157.0,0.82,0.87,0.29512092
2094,Kepler-1169 b,0.94164,0.77867861,0.90936173,1256.4569,6191.0,1.23,1.24,1.8281002
2097,Kepler-1170 b,2.41015,6.3883429,1.6280662,798.41628,5069.0,0.76,0.8,0.45919801
2100,Kepler-1173 b,0.88559,0.63883429,0.84933252,1787.6023,5252.0,0.82,0.86,0.3672823
2101,Kepler-1174 b,1.59182,3.1560321,1.4080683,1463.7442,5936.0,1.04,1.04,3.5892193
2103,Kepler-1176 b,2.45499,6.5790397,1.6370291,674.77467,5844.0,1.02,1.01,0.76383578
2104,Kepler-1177 b,1.9057,4.2588952,1.4949312,534.178,5712.0,0.97,0.98,2.1978599
2105,Kepler-1178 b,1.06495,1.2395292,1.0788567,614.05076,4990.0,0.75,0.8,0.52844525
2106,Kepler-1179 b,1.32278,2.3010747,1.3189294,1197.9334,5212.0,0.81,0.84,0.35974934
2107,Kepler-118 b,1.96175,4.5131576,1.5167654,857.15486,5274.0,1.09,0.81,0.41975898
2109,Kepler-1180 b,1.99538,4.608506,1.5197329,1036.2432,6077.0,1.14,1.09,2.6121614
2110,Kepler-1181 b,1.5694,3.0892882,1.4030152,1515.0429,6176.0,1.3,1.17,2.9648314
2111,Kepler-1182 b,2.41015,6.3883429,1.6280662,1064.4768,5924.0,1.05,1.04,1.8030177
2114,Kepler-1185 b,1.33399,2.3296793,1.321514,516.28326,5622.0,0.87,0.96,1.9142559
2115,Kepler-1186 b,2.23079,5.5937729,1.5835182,834.05781,5635.0,0.93,0.95,1.1587774
2117,Kepler-1188 b,2.08506,4.9898996,1.5469869,984.69977,5913.0,1.06,1.04,2.5003454
2118,Kepler-1189 b,1.77118,3.7821532,1.461296,1363.2085,6012.0,1.16,1.11,1.0990058
2120,Kepler-119 c,0.91922,0.72146957,0.88592973,1272.3971,5595.0,0.84,0.92,0.9183326
2121,Kepler-1190 b,1.33399,2.3296793,1.321514,651.31693,4730.0,0.72,0.76,0.18749945
2122,Kepler-1191 b,1.51335,2.8890565,1.3816827,1042.6815,5308.0,0.81,0.85,0.59429216
2123,Kepler-1192 b,2.36531,6.1658633,1.6145552,649.59435,5438.0,0.83,0.86,0.74473197
2124,Kepler-1193 b,1.32278,2.3010747,1.3189294,1754.1559,5908.0,1.21,1.08,2.2438819
2125,Kepler-1194 b,1.51335,2.8890565,1.3816827,768.19135,5590.0,0.92,0.94,0.74644876
2126,Kepler-1195 b,2.08506,4.9898996,1.5469869,826.04253,4965.0,0.71,0.74,0.35809644
2127,Kepler-1196 b,2.23079,5.5937729,1.5835182,496.67861,5756.0,0.97,0.98,0.89742879
2128,Kepler-1197 b,1.25552,2.0976648,1.2925764,1165.6751,4708.0,0.72,0.78,0.21577444
2129,Kepler-1198 b,1.46851,2.7619253,1.3714106,930.49743,5517.0,0.9,0.93,0.58613816
2130,Kepler-1199 b,1.15463,1.6050314,1.1790178,944.04888,5889.0,1.17,0.94,1.5381546
2132,Kepler-120 b,2.15232,8.5813561,1.9967539,830.88205,4096.0,0.53,0.65,0.21037784
2133,Kepler-120 c,1.52456,2.9558004,1.3924041,656.86993,4096.0,0.53,0.65,0.21037784
2134,Kepler-1200 b,1.06495,1.1982116,1.0607234,1411.373,4612.0,0.7,0.74,0.20464446
2135,Kepler-1201 b,2.28684,5.8480353,1.5991423,857.98234,6177.0,1.24,1.15,1.1066238
2137,Kepler-1203 b,1.06495,1.1982116,1.0607234,1648.2318,4105.0,0.61,0.64,0.13995873
2139,Kepler-1205 b,1.41246,2.5712285,1.3492184,1615.6329,5226.0,0.81,0.84,0.38194427
2140,Kepler-1206 b,1.63666,3.337194,1.427945,1420.2758,4877.0,0.75,0.8,0.23988329
2141,Kepler-1207 b,1.62545,3.2418456,1.4122428,1221.7766,5909.0,1.06,1.06,4.3451022
2142,Kepler-1208 b,2.32047,6.0069493,1.6089369,697.20152,5001.0,0.76,0.8,0.27989813
2143,Kepler-1209 b,1.51335,2.8890565,1.3816827,826.19862,6210.0,1.38,1.23,2.2029265
2144,Kepler-121 b,2.34289,6.0705149,1.6096699,1109.0175,5311.0,0.7,0.86,0.33573761
2145,Kepler-121 c,2.27563,5.7844697,1.59434,471.24184,5311.0,0.7,0.86,0.33573761
2146,Kepler-1210 b,1.70392,3.5278908,1.4389078,962.32824,5568.0,0.92,0.94,0.70957777
2148,Kepler-1212 b,2.14111,5.2123792,1.5602655,987.65915,6051.0,1.15,1.1,1.6255488
2149,Kepler-1213 b,1.18826,1.8116196,1.2347464,1433.2893,6050.0,1.21,1.14,2.4831331
2150,Kepler-1214 b,2.36531,6.1658633,1.6145552,631.85254,5130.0,0.8,0.85,0.38106582
2151,Kepler-1215 b,1.22189,1.9832467,1.2740085,1127.5966,5616.0,0.93,0.95,0.65765784
2152,Kepler-1216 b,1.39004,2.5108412,1.3439898,1317.1555,5743.0,0.98,0.99,1.1830416
2153,Kepler-1217 b,1.99538,4.608506,1.5197329,1673.4468,5905.0,1.08,1.06,1.216186
2154,Kepler-1218 b,1.43488,2.6665769,1.3632304,896.60745,5986.0,1.1,1.06,2.3067472
2155,Kepler-1219 b,2.11869,5.1488136,1.5589058,1302.0648,5944.0,1.94,1.25,8.4333476
2156,Kepler-122 b,2.34289,6.0705149,1.6096699,1328.5587,6050.0,1.22,1.08,1.8620871
2158,Kepler-122 d,2.19716,5.4666417,1.577355,853.69919,6050.0,1.22,1.08,1.8620871
2161,Kepler-1220 b,1.52456,2.9240176,1.3848978,1077.3894,5842.0,0.99,1.0,1.0592537
2162,Kepler-1221 b,1.88328,4.1953296,1.4925387,779.21377,5194.0,0.82,0.87,0.44157045
2163,Kepler-1222 b,0.7847,0.41635468,0.72841671,1316.2736,5239.0,0.8,0.84,0.34833732
2164,Kepler-1223 b,1.22189,1.9832467,1.2740085,611.89707,4870.0,0.75,0.8,0.28773984
2165,Kepler-1224 b,1.33399,2.3296793,1.321514,997.83276,6155.0,1.22,1.18,1.9633603
2166,Kepler-1225 b,1.81602,3.97285,1.479077,1255.1439,6140.0,1.19,1.13,2.1527817
2167,Kepler-1226 b,1.44609,2.6983597,1.3660049,958.94049,5923.0,1.02,1.02,2.2855988
2168,Kepler-1227 b,2.28684,5.8480353,1.5991423,410.67939,5747.0,0.95,0.97,0.69502432
2169,Kepler-1228 b,1.53577,2.9875832,1.3947518,1869.6732,5063.0,0.74,0.78,0.27861212
2170,Kepler-1229 b,1.40125,2.542624,1.3470486,217.1332,3784.0,0.51,0.54,0.029308932
2172,Kepler-123 c,1.47972,2.7937081,1.3740443,856.31082,6089.0,1.26,1.01,2.5703958
2174,Kepler-1231 b,1.42367,2.6030113,1.3521764,964.37873,5778.0,1.0,1.01,1.0543869
2175,Kepler-1232 b,1.92812,4.3860264,1.5082335,572.10106,5471.0,0.89,0.92,0.43752211
2178,Kepler-1235 b,0.7847,0.41635468,0.72841671,1186.9433,5541.0,0.9,0.93,0.6982324
2179,Kepler-1236 b,2.14111,5.2123792,1.5602655,544.78213,5337.0,0.82,0.86,0.41783037
2181,Kepler-1238 b,1.92812,4.3860264,1.5082335,1731.299,6386.0,1.48,1.3,3.8370725
2183,Kepler-124 b,0.72865,0.31464972,0.65713438,1113.4954,4984.0,0.64,0.84,0.34119291
2184,Kepler-124 c,1.74876,3.7185876,1.4582229,695.37764,4984.0,0.64,0.84,0.34119291
2185,Kepler-124 d,1.10979,1.4111563,1.1276314,533.3303,4984.0,0.64,0.84,0.34119291
2186,Kepler-1240 b,1.15463,1.6050314,1.1790178,1386.0954,5682.0,0.96,0.98,1.6710906
2188,Kepler-1242 b,2.26442,5.7209041,1.5894755,663.22814,4895.0,0.74,0.77,0.3047895
2189,Kepler-1243 b,1.74876,3.7185876,1.4582229,705.4657,5667.0,0.94,0.96,0.57016427
2190,Kepler-1244 b,1.3452,2.3900666,1.332943,2326.049,6680.0,1.77,1.46,10.764652
2191,Kepler-1245 b,1.43488,2.6665769,1.3632304,1032.2812,5306.0,0.83,0.86,0.38815037
2192,Kepler-1245 c,1.43488,2.6665769,1.3632304,1177.4684,5306.0,0.83,0.86,0.38815037
2193,Kepler-1246 b,1.35641,2.4186711,1.3353433,650.16381,4611.0,0.69,0.73,0.18749945
2194,Kepler-1247 b,2.33168,6.0387321,1.6093052,714.18109,5303.0,0.82,0.86,0.45185594
2195,Kepler-1248 b,1.17705,1.7575889,1.2219718,1187.9638,6149.0,1.21,1.21,1.8879913
2196,Kepler-1249 b,2.37652,6.2612117,1.6231492,900.76704,6202.0,1.28,1.19,2.6791683
2197,Kepler-125 b,2.36531,6.1976461,1.6187111,661.57455,3810.0,0.51,0.54,0.046989411
2198,Kepler-125 c,0.73986,0.33054112,0.66840236,593.17881,3810.0,0.51,0.54,0.046989411
2199,Kepler-1250 b,1.91691,4.3542436,1.5071466,1768.1717,5717.0,0.98,0.99,2.2029265
2200,Kepler-1251 b,1.83844,4.0364156,1.4817441,529.26121,5545.0,0.89,0.92,0.70307232
2201,Kepler-1252 b,1.67029,3.4325424,1.4335473,813.13254,5949.0,1.09,1.06,0.74131024
2202,Kepler-1253 b,1.33399,2.3296793,1.321514,626.96099,5850.0,1.1,0.97,2.2130947
2203,Kepler-1254 b,1.54698,3.0225443,1.3977966,717.21311,4985.0,0.75,0.78,0.26791683
2204,Kepler-1254 c,1.30036,2.2406874,1.3126799,1007.6611,4985.0,0.75,0.78,0.26791683
2205,Kepler-1254 d,1.31157,2.2692919,1.3153746,863.25042,4985.0,0.75,0.78,0.26791683
2206,Kepler-1255 b,2.32047,6.0069493,1.6089369,727.70966,6018.0,1.12,1.08,2.0276827
2207,Kepler-1256 b,1.49093,2.8254909,1.3766335,1129.0264,6129.0,1.36,1.17,2.6791683
2208,Kepler-1257 b,1.52456,2.9240176,1.3848978,1372.0717,5502.0,0.87,0.9,0.73113908
2209,Kepler-1258 b,0.86317,0.56573385,0.80957653,2142.2625,5839.0,0.99,0.99,1.2416523
2210,Kepler-1259 b,1.43488,2.6347941,1.3550819,2000.3738,5053.0,0.77,0.8,0.46451528
2211,Kepler-126 b,1.52456,2.9240176,1.3848978,1185.8232,6239.0,1.36,1.18,2.831392
2212,Kepler-126 c,1.58061,3.121071,1.4052043,925.17476,6239.0,1.36,1.18,2.831392
2213,Kepler-126 d,2.49983,6.8015193,1.6494826,557.59755,6239.0,1.36,1.18,2.831392
2214,Kepler-1260 b,1.77118,3.7821532,1.461296,1024.9133,5961.0,1.08,1.06,3.3573761
2215,Kepler-1261 b,2.26442,5.7209041,1.5894755,435.5337,5006.0,0.77,0.82,0.29991625
2216,Kepler-1262 b,1.81602,3.97285,1.479077,940.1165,5771.0,0.98,0.99,0.78523563
2217,Kepler-1263 b,1.14342,1.5541789,1.1658633,1014.8934,5213.0,0.8,0.84,0.38547836
2218,Kepler-1264 b,1.17705,1.7575889,1.2219718,2016.9914,5791.0,0.98,0.99,0.88104887
2219,Kepler-1265 b,1.3452,2.3900666,1.332943,777.31135,4630.0,0.69,0.71,0.19952623
2221,Kepler-1266 c,1.6815,3.4643252,1.4353602,929.97023,4996.0,0.83,0.79,0.29512092
2223,Kepler-1268 b,2.02901,4.76742,1.5328498,718.8838,5904.0,1.09,1.06,2.2130947
2224,Kepler-1269 b,1.62545,3.3054112,1.4260211,833.52091,5998.0,1.15,1.1,3.5974934
2225,Kepler-127 b,1.40125,2.542624,1.3470486,1013.6271,6106.0,1.36,1.27,2.5527013
2229,Kepler-1271 b,1.47972,2.7937081,1.3740443,1596.3664,6143.0,1.23,1.13,1.65577
2230,Kepler-1272 b,2.36531,6.1976461,1.6187111,684.52149,5926.0,1.09,1.06,2.3442288
2231,Kepler-1273 b,2.48862,6.7697365,1.6493263,560.16345,5566.0,0.91,0.94,0.49545019
2232,Kepler-1274 b,1.42367,2.6030113,1.3521764,1604.3651,6179.0,2.17,1.45,6.2805836
2233,Kepler-1275 b,1.47972,2.7937081,1.3740443,1561.3879,6296.0,1.36,1.23,2.0653802
2234,Kepler-1276 b,1.18826,1.8116196,1.2347464,997.4091,6188.0,1.21,1.14,1.6595869
2235,Kepler-1277 b,1.60303,3.17828,1.4080733,542.48499,5578.0,0.92,0.94,0.63241185
2236,Kepler-1278 b,1.0089,1.0075148,0.99931326,1735.2566,6074.0,1.16,1.11,2.3227368
2237,Kepler-1279 b,1.74876,3.7185876,1.4582229,1061.0299,6221.0,1.33,1.21,4.931738
2238,Kepler-128 b,1.43488,0.76914377,0.73214309,1141.8044,6136.0,1.61,1.09,3.758374
2239,Kepler-128 c,1.3452,0.89945325,0.81770352,994.70728,6136.0,1.61,1.09,3.758374
2240,Kepler-1280 b,1.87207,4.1635468,1.4913195,689.96796,6227.0,1.32,1.2,4.7752927
2241,Kepler-1281 b,1.63666,3.337194,1.427945,1193.8415,5353.0,0.83,0.87,0.510505
2242,Kepler-1282 b,1.54698,3.0225443,1.3977966,1414.8106,5504.0,0.89,0.92,0.65614527
2243,Kepler-1283 b,1.9057,4.3224608,1.5060461,1505.4227,6175.0,1.25,1.16,8.4527885
2244,Kepler-1284 b,1.21068,1.9260377,1.261298,1916.6936,5123.0,0.79,0.84,0.40271703
2245,Kepler-1285 b,0.97527,0.87084873,0.94495021,1065.7641,6170.0,1.28,1.2,3.0269134
2246,Kepler-1286 b,2.15232,5.2759448,1.5656573,983.86133,5753.0,0.98,1.0,1.342765
2247,Kepler-1287 b,1.53577,2.9875832,1.3947518,873.96856,5715.0,0.94,0.96,0.81096106
2248,Kepler-1288 b,1.121,1.4588305,1.140774,1641.4441,6132.0,1.29,1.2,2.004472
2249,Kepler-1289 b,1.52456,2.9240176,1.3848978,1125.9935,6080.0,1.17,1.1,1.4454398
2253,Kepler-1290 b,1.42367,2.6030113,1.3521764,1268.5077,5660.0,0.93,0.95,1.1721954
2254,Kepler-1291 b,1.65908,3.4007596,1.4317075,787.86533,5216.0,0.8,0.84,0.34119291
2255,Kepler-1292 b,1.81602,3.97285,1.479077,1297.2356,5556.0,0.93,0.95,0.81096106
2256,Kepler-1293 b,0.97527,0.87084873,0.94495021,1586.8213,6241.0,1.28,1.18,4.0179081
2258,Kepler-1295 b,1.54698,3.0225443,1.3977966,1134.9108,5486.0,0.89,0.92,0.52119471
2259,Kepler-1296 b,0.90801,0.69286505,0.87353238,1271.501,5359.0,0.83,0.87,3.0619634
2260,Kepler-1297 b,0.97527,0.87084873,0.94495021,2035.0613,5818.0,0.99,0.99,2.004472
2261,Kepler-1298 b,1.31157,2.2692919,1.3153746,1629.5354,6339.0,2.0,1.45,6.9183097
2263,Kepler-130 b,1.02011,1.0424758,1.010903,1145.6257,5884.0,1.13,0.96,1.5776113
2265,Kepler-130 d,1.63666,3.337194,1.427945,499.57498,5884.0,1.13,0.96,1.5776113
2266,Kepler-1300 b,1.36762,2.4504539,1.3385683,1019.9332,6130.0,1.79,1.29,4.3251383
2267,Kepler-1301 b,1.40125,2.542624,1.3470486,825.8324,5188.0,0.81,0.85,0.4508167
2268,Kepler-1302 b,1.43488,2.6347941,1.3550819,779.89683,5236.0,0.82,0.86,0.34119291
2269,Kepler-1303 b,1.42367,2.6030113,1.3521764,1048.6988,5771.0,1.0,1.01,0.99540542
2270,Kepler-1304 b,2.28684,5.8480353,1.5991423,1198.86,5259.0,0.81,0.85,4.3551187
2271,Kepler-1305 b,1.88328,4.1953296,1.4925387,906.78629,5701.0,0.96,0.97,1.2133889
2272,Kepler-1306 b,1.9057,4.3224608,1.5060461,791.167,5727.0,0.97,0.98,0.86496792
2273,Kepler-1307 b,2.4662,6.6743881,1.6450973,691.06516,5884.0,1.08,1.06,0.62373484
2275,Kepler-1309 b,2.36531,6.1976461,1.6187111,496.24412,5235.0,0.8,0.85,0.24945947
2276,Kepler-131 b,2.41015,16.209228,2.593338,828.15265,5685.0,1.03,1.02,1.0519619
2277,Kepler-131 c,0.84075,8.2635281,3.135085,710.06757,5685.0,1.03,1.02,1.0519619
2278,Kepler-1310 b,1.43488,2.6665769,1.3632304,2117.5802,5549.0,0.88,0.91,0.64268772
2279,Kepler-1311 b,1.24431,2.0690603,1.2895028,1200.5288,5748.0,1.4,1.05,2.9648314
2280,Kepler-1311 c,1.22189,1.9832467,1.2740085,1968.0984,5748.0,1.4,1.05,2.9648314
2282,Kepler-1312 b,2.09627,5.0534652,1.5526409,1106.7819,5719.0,0.92,0.99,0.79615935
2283,Kepler-1312 c,1.03132,1.0710804,1.0190942,1879.9555,5721.0,0.91,0.98,0.79615935
2284,Kepler-1313 b,1.75997,3.7503704,1.4597701,1112.607,5453.0,0.85,0.92,0.47315126
2286,Kepler-1315 b,1.37883,2.4790584,1.3408741,1569.9178,4861.0,0.75,0.8,0.23550493
2287,Kepler-1315 c,1.84965,4.0681984,1.4830517,792.28372,4818.0,0.86,0.81,0.23550493
2289,Kepler-1317 b,1.55819,3.0543271,1.400063,2003.8524,5144.0,0.79,0.83,0.38547836
2291,Kepler-1319 b,1.3452,2.3582838,1.3240507,717.84223,3655.0,0.54,0.56,0.034914032
2292,Kepler-132 b,1.21068,1.9260377,1.261298,1255.1144,6003.0,1.18,0.98,1.6255488
