,P.Name,PSI_P_RADIUS,PSI_P_DENSITY,PSI_P_ESCAPE,PSI_P_TEMP_SURF,PSI_Interior,PSI_Surface,PSI_Global
2234,Kepler-1276 b,0.950016,0.959014,0.925255,0.011342,0.9545043971737375,0.10244140866856527,0.3126991765688189
2235,Kepler-1277 b,0.860526,0.862671,0.878117,0.129803,0.861597832486828,0.33761253079677006,0.5393386920617597
2236,Kepler-1278 b,0.997472,0.989788,0.99976,0.000902,0.9936225721751696,0.03002971062131635,0.17273736801638598
2237,Kepler-1279 b,0.834217,0.808988,0.865538,0.008662,0.8215056557297704,0.08658689367334989,0.26670512343172037
2238,Kepler-128 b,0.893912,0.388352,0.889057,0.006262,0.5891964978035765,0.07461417381436318,0.20967214859854447
2239,Kepler-128 c,0.913239,0.51681,0.928693,0.011476,0.6870014902385584,0.10323604442247872,0.26631431873742145
2240,Kepler-1280 b,0.813609,0.762825,0.857473,0.052137,0.7878078988084595,0.21143809921818726,0.4081330722609168
2241,Kepler-1281 b,0.854252,0.855648,0.87308,0.00513,0.85494971506867,0.06692458741000949,0.2392010805520659
2242,Kepler-1282 b,0.87127,0.89226,0.880749,0.002362,0.881702540656428,0.04561062527525796,0.2005367901062626
2243,Kepler-1283 b,0.808228,0.754875,0.853943,0.001769,0.7810960962007172,0.03886676172515534,0.17423741233007992
2244,Kepler-1284 b,0.944512,0.956262,0.917636,0.000559,0.9503688411053889,0.022648587682237497,0.14671234449848394
2245,Kepler-1285 b,0.992844,0.966256,0.980102,0.008495,0.9794597858329867,0.09124673413333763,0.29895234849754626
2246,Kepler-1286 b,0.771557,0.674482,0.840005,0.012033,0.7213884587890217,0.10053745652740574,0.2693075580351831
2247,Kepler-1287 b,0.873463,0.897616,0.881533,0.019924,0.8854571498429498,0.1325279724888297,0.342560711107424
2248,Kepler-1288 b,0.967072,0.981304,0.953502,0.001176,0.9741620100825119,0.03348609191888477,0.18061250957092798
2249,Kepler-1289 b,0.875672,0.897864,0.884081,0.006663,0.8866985759591587,0.07675045083255211,0.26087260388443895
2253,Kepler-1290 b,0.896267,0.94502,0.892672,0.003899,0.9203207268881866,0.058996000949216885,0.23301339548849853
2254,Kepler-1291 b,0.85014,0.84426,0.872134,0.030616,0.8471948987098542,0.1634051851808871,0.372069938731936
2255,Kepler-1292 b,0.822801,0.785078,0.860435,0.003521,0.8037182114883301,0.05504172630831994,0.21032840470500666
2256,Kepler-1293 b,0.992844,0.966256,0.980102,0.001381,0.9794597858329867,0.03679022780576385,0.18982768145710532
2258,Kepler-1295 b,0.87127,0.89226,0.880749,0.006433,0.881702540656428,0.07527189593068584,0.25761875297057074
2259,Kepler-1296 b,0.972227,0.958658,0.952255,0.003857,0.9654186611859126,0.06060402243250855,0.24188479530403192
2260,Kepler-1297 b,0.992844,0.966256,0.980102,0.000417,0.9794597858329867,0.020216392704931314,0.14071653658716723
2261,Kepler-1298 b,0.920789,0.996901,0.902581,0.001217,0.9580894921086442,0.03314273792250725,0.17819570405389934
2263,Kepler-130 b,0.994314,0.990302,0.996202,0.006169,0.9923059723835185,0.07839368685040907,0.27890952593775675
2265,Kepler-130 d,0.854252,0.855648,0.87308,0.174521,0.85494971506867,0.390347018279889,0.5776911562905356
2266,Kepler-1300 b,0.9083,0.977047,0.896305,0.010295,0.9420465965651593,0.09605966882620406,0.3008200194217497
2267,Kepler-1301 b,0.901027,0.957871,0.894037,0.025229,0.9290143343980221,0.1501854169784803,0.37352965771214514
2268,Kepler-1302 b,0.893912,0.938967,0.891901,0.031913,0.916162577768815,0.16871051127004505,0.3931491535052049
2269,Kepler-1303 b,0.896267,0.94502,0.892672,0.009118,0.9203207268881866,0.09021853077943577,0.2881492388081471
2270,Kepler-1304 b,0.753396,0.637765,0.832415,0.005034,0.6931735712936552,0.06473312220185273,0.21182844355196226
2271,Kepler-1305 b,0.811805,0.757686,0.857179,0.017056,0.7842788300279436,0.12091337818454996,0.3079444800240867
2272,Kepler-1306 b,0.808228,0.754875,0.853943,0.030097,0.7810960962007172,0.1603156962714506,0.3538671565959886
2273,Kepler-1307 b,0.730921,0.595338,0.822265,0.051812,0.659655248063714,0.2064054121867932,0.36899378501239316
2275,Kepler-1309 b,0.743332,0.618157,0.828056,0.178698,0.6778612535939784,0.3846712246685473,0.5106404983697947
2276,Kepler-131 b,0.737745,0.92196,0.663548,0.024938,0.8247250330867858,0.12863731971710232,0.3257152402941604
2277,Kepler-131 c,0.94973,0.116585,0.601426,0.046542,0.33275256881052023,0.16730681065635075,0.2359486618427747
2278,Kepler-1310 b,0.893912,0.945338,0.889747,0.000344,0.9192654579913248,0.01749494121167602,0.12681677785483536
2279,Kepler-1311 b,0.936418,0.961892,0.909708,0.005002,0.9490695353112963,0.0674563519321939,0.2530232569984082
2280,Kepler-1311 c,0.941793,0.955399,0.914043,0.000491,0.948571605313484,0.021184784941084486,0.14175784091113067
2282,Kepler-1312 b,0.779487,0.691616,0.843001,0.007191,0.7342381636717068,0.07785897630331393,0.23909628141463043
2283,Kepler-1312 c,0.991182,0.987246,0.993371,0.000614,0.9892120423710985,0.02469675675063428,0.15630204472506798
2284,Kepler-1313 b,0.832284,0.803552,0.865157,0.007026,0.8177918272812464,0.07796533256518566,0.25250626087895967
2286,Kepler-1315 b,0.905858,0.97017,0.895687,0.001452,0.9374626690487468,0.036062966100974,0.18386866088279852
2287,Kepler-1315 c,0.817252,0.769317,0.85947,0.029924,0.7929223523674938,0.16037075880596188,0.35659719477778185
2289,Kepler-1317 b,0.869091,0.886377,0.880167,0.00045,0.8776914453878424,0.019901636867353398,0.13216465649972906
2291,Kepler-1319 b,0.913239,0.983055,0.900221,0.04457,0.9475041768483135,0.20030688947212974,0.4356507941302717
2292,Kepler-132 b,0.944512,0.956262,0.917636,0.004092,0.9503688411053889,0.061277781552533384,0.24132238652804328
2293,Kepler-132 c,0.928513,0.975857,0.904837,0.004231,0.9518907030962116,0.061873785620406324,0.24268720876352928
2294,Kepler-132 d,0.87127,0.89226,0.880749,0.019269,0.881702540656428,0.13027337594842625,0.3389135089571046
2295,Kepler-132 e,0.952801,0.959996,0.928975,0.186632,0.9563917339646971,0.41638499276510915,0.6310524266869597
2296,Kepler-1320 b,0.842075,0.821933,0.870331,0.001908,0.8319430455115302,0.040750356415619235,0.18412489137020716
2298,Kepler-1321 c,0.739131,0.61051,0.82605,0.008278,0.6717491100180185,0.08269245370649005,0.23568746717324807
2300,Kepler-1322 b,0.858421,0.856968,0.877581,0.000447,0.857694192313321,0.019806027037242983,0.13033615907584478
2301,Kepler-1322 c,0.771557,0.674482,0.840005,0.008587,0.7213884587890217,0.08493010617560771,0.24752292499647305
2302,Kepler-1323 b,0.875672,0.897864,0.884081,0.000161,0.8866985759591587,0.011930508832401073,0.10285312436750862
2303,Kepler-1324 b,0.877896,0.90319,0.884916,0.017219,0.8904531926159848,0.12343973673011459,0.3315377922153177
2306,Kepler-1327 b,0.824674,0.786314,0.86222,0.022059,0.8052656155803499,0.13791196822611154,0.33325030531043387
2307,Kepler-1328 b,0.992844,0.985393,0.986417,0.002274,0.9891114839551707,0.04736150607824882,0.21643892801298137
2308,Kepler-1329 b,0.768446,0.665493,0.839716,0.056692,0.7151191745981924,0.21818611200532448,0.39500515480944853
2309,Kepler-133 b,0.832284,0.803552,0.865157,0.003955,0.8177918272812464,0.0584952642100196,0.21871659517652342
2311,Kepler-1330 b,0.852189,0.849935,0.872603,0.004432,0.851061253797281,0.062188234385613494,0.23005650768378497
2312,Kepler-1331 b,0.985,0.993957,0.983601,0.002242,0.9894683648303264,0.04695991313876124,0.2155582252338895
2313,Kepler-1332 b,0.9083,0.977047,0.896305,0.022735,0.9420465965651593,0.14274976068281164,0.366710957310705
2315,Kepler-1334 b,0.753396,0.637765,0.832415,0.024215,0.6931735712936552,0.14197510072192238,0.31370908115990415
2316,Kepler-1335 b,0.891575,0.939228,0.889017,0.023175,0.9150913637992656,0.1435373434859375,0.36242210667489666
2317,Kepler-1336 b,0.796045,0.723393,0.850924,0.01619,0.7588500383376151,0.11737316371300553,0.2984436794161026
2318,Kepler-1336 c,0.840091,0.816444,0.869897,0.002044,0.8281831056016538,0.042167161014230015,0.18687463809508767
2319,Kepler-1337 b,0.737745,0.606493,0.825992,0.180972,0.6689074512105542,0.3866282765447969,0.5085455093003077
2320,Kepler-1338 b,0.975787,0.960599,0.957266,0.00019,0.9681632178579188,0.013486309354304461,0.11426700600563033
2321,Kepler-1339 b,0.897894,0.88945,0.838717,0.000361,0.8936620268871225,0.01740048381511273,0.12470024713299574
2322,Kepler-134 b,0.794346,0.725209,0.848233,0.004712,0.7589906905318404,0.06322083435071069,0.21905256154595637
2323,Kepler-134 c,0.933763,0.961695,0.906425,0.012106,0.947626090968901,0.10475295246435778,0.3150660738023859
2324,Kepler-1340 b,0.87127,0.89226,0.880749,0.000168,0.881702540656428,0.01216412068338686,0.10356223303595573
2326,Kepler-1342 b,0.85014,0.84426,0.872134,0.002485,0.8471948987098542,0.04655376450943575,0.19859534689446734
2327,Kepler-1343 b,0.804695,0.744716,0.853421,0.001695,0.7741248230227474,0.0380335193612161,0.17158872761470567
2328,Kepler-1344 b,0.81909,0.774532,0.859787,0.00333,0.7964994763840086,0.05350785652593458,0.2064436477718255
2329,Kepler-1345 b,0.743332,0.615844,0.828977,0.024125,0.6765918653132034,0.14141806859450456,0.3093255806094064
2330,Kepler-1346 b,0.864779,0.875248,0.87885,0.002784,0.8699977529810062,0.049464314409481104,0.20744599872977681
2331,Kepler-1347 b,0.991182,0.991984,0.991815,0.045634,0.9915829189170213,0.2127451191214501,0.4592977533189085
2332,Kepler-1348 b,0.802945,0.739695,0.853166,0.036293,0.7706713967541549,0.17596577405279698,0.36825505953102
2333,Kepler-1349 b,0.893091,0.884644,0.831337,0.000586,0.8888574658537779,0.02207178021818811,0.14006665067609858
2334,Kepler-135 b,0.824674,0.79041,0.860765,0.002186,0.8073602518950261,0.04337778567423653,0.18714032160012994
2335,Kepler-135 c,0.958439,0.961015,0.93619,0.00583,0.9597261357204981,0.07387819502397172,0.2662758618883088
2337,Kepler-1350 c,0.838121,0.819975,0.866318,0.015845,0.8289983516117508,0.11716146427046736,0.3116515052949953
2338,Kepler-1351 b,0.873018,0.84907,0.79532,0.003388,0.8609607385125061,0.05190899883449882,0.21140390245214236
2339,Kepler-1352 b,0.96495,0.955363,0.942247,0.000537,0.9601445343540731,0.02249414677199382,0.14696132851225924
2340,Kepler-1353 b,0.824674,0.786314,0.86222,0.155246,0.8052656155803499,0.3658636441626853,0.5427867100760067
2342,Kepler-1355 b,0.889254,0.933147,0.888301,0.001365,0.9109361680919251,0.03482141388571119,0.17810133444921938
2343,Kepler-1356 b,0.875672,0.903559,0.882139,0.000638,0.8895062206910078,0.023723504842244537,0.14526598064849788
2344,Kepler-1357 b,0.928513,0.975857,0.904837,0.003409,0.9518907030962116,0.05553907933158417,0.2299285394949003
2345,Kepler-1358 b,0.967072,0.981304,0.953502,0.018841,0.9741620100825119,0.13403332116306005,0.36134494539462075
2347,Kepler-136 b,0.785996,0.588519,0.605096,0.005919,0.6801276203213629,0.05984616298477288,0.20174991552959323
2348,Kepler-136 c,0.794346,0.718529,0.850693,0.009769,0.755487019765396,0.09116150457841292,0.26243348378451
2350,Kepler-1361 b,0.957454,0.931663,0.925119,0.00809,0.9444704685706166,0.08651134440060448,0.2858450803892082
2352,Kepler-1363 b,0.933763,0.968917,0.908854,0.008948,0.9511776094247594,0.09017996225326333,0.29287738204592384
2353,Kepler-1364 b,0.771557,0.674482,0.840005,0.003924,0.7213884587890217,0.05741236469611751,0.20351073014356136
2354,Kepler-1365 b,0.975787,0.960599,0.957266,0.003016,0.9681632178579188,0.05373187374361702,0.22808161649978648
2355,Kepler-1365 c,0.93355,0.9219,0.89272,0.001434,0.9277067128139151,0.03577933034588546,0.18218870695480704
2356,Kepler-1366 b,0.893912,0.938967,0.891901,0.012159,0.916162577768815,0.10413752570039295,0.3088800802708686
2357,Kepler-1367 b,0.975787,0.960599,0.957266,0.007032,0.9681632178579188,0.0820456855172775,0.28183969717157703
