,P.Name,PSI_P_RADIUS,PSI_P_MASS,PSI_P_ESCAPE,PSI_P_TEMP_SURF,PSI_Interior,PSI_Surface,PSI_Global
2208,Kepler-1257 b,0.806251,0.522432,0.911048,0.11032,0.6490079525183031,0.3170280986915829,0.4536008787718502
2209,Kepler-1258 b,0.575702,0.141399,0.763328,0.050233,0.28531331391647324,0.19581689259101218,0.23636659354902034
2210,Kepler-1259 b,0.780197,0.485616,0.90514,0.056872,0.6155291596277142,0.22688570267868355,0.373704115446102
2211,Kepler-126 b,0.806251,0.522432,0.911048,0.141056,0.6490079525183031,0.3584812222250978,0.4823454820484686
2212,Kepler-126 c,0.821879,0.54638,0.914991,0.210877,0.67011808513127,0.43926137675306715,0.5425467654146422
2213,Kepler-126 d,0.976501,0.875327,0.95787,0.444879,0.924531065366113,0.6527911210563453,0.7768691463893789
2214,Kepler-1260 b,0.871582,0.620727,0.925557,0.179111,0.7355368652311045,0.40715775791086184,0.5472472392879477
2215,Kepler-1261 b,0.979924,0.797063,0.948053,0.614373,0.8837766478087097,0.7631894691156319,0.8212728113470712
2216,Kepler-1262 b,0.882566,0.64062,0.92881,0.205609,0.7519238198913504,0.4370030838449541,0.5732303447210362
2217,Kepler-1263 b,0.685307,0.327053,0.863978,0.181968,0.47342550656993543,0.3965051685716089,0.4332616533788925
2218,Kepler-1264 b,0.697144,0.359812,0.876896,0.056029,0.5008400712083648,0.2216565044928752,0.33318832436627915
2219,Kepler-1265 b,0.752756,0.45279,0.900659,0.275881,0.583815372562251,0.49847237193148425,0.5394588339541475
2221,Kepler-1266 c,0.848824,0.586076,0.92073,0.209165,0.7053193423010602,0.43884449461056246,0.5563501687886533
2223,Kepler-1268 b,0.93146,0.717055,0.938383,0.310014,0.8172564164936241,0.5393624638051855,0.6639257747373557
2224,Kepler-1269 b,0.834037,0.568006,0.918967,0.248057,0.688286292339169,0.47744758572957513,0.573254418707869
2225,Kepler-127 b,0.770075,0.473441,0.903524,0.182334,0.6038088092061923,0.40588563046257253,0.4950528448595266
2229,Kepler-1271 b,0.79339,0.506099,0.908914,0.084922,0.6336670147719542,0.27782511532977,0.4195814717783535
2230,Kepler-1272 b,0.999128,0.833049,0.952889,0.333098,0.9123171495001068,0.5633874511577268,0.7169295875498151
2231,Kepler-1273 b,0.978484,0.873187,0.957845,0.442098,0.9243373348015324,0.6507390865853995,0.7755658791782499
2232,Kepler-1274 b,0.776845,0.481443,0.904557,0.084182,0.6115607797553732,0.27594821502231176,0.4108030009032898
2233,Kepler-1275 b,0.79339,0.506099,0.908914,0.088271,0.6336670147719542,0.2832503269089023,0.42365834004011327
2234,Kepler-1276 b,0.701034,0.368262,0.879748,0.18712,0.5080985956563943,0.40573198759772444,0.45403948408842304
2235,Kepler-1277 b,0.827995,0.55317,0.915543,0.4618,0.6767732220988062,0.6502290038132719,0.6633683577114641
2236,Kepler-1278 b,0.635288,0.230593,0.821425,0.073327,0.38274399509855145,0.24542337088182942,0.30648706573339257
2237,Kepler-1279 b,0.865993,0.61395,0.92499,0.169344,0.7291614377831566,0.3957796186768591,0.5372031606382152
2238,Kepler-128 b,0.780197,0.183947,0.735819,0.150174,0.37883360141228234,0.3324167301836657,0.3548670554801798
2239,Kepler-128 c,0.752756,0.20984,0.766073,0.187936,0.39743970491132363,0.37943734045030414,0.38833421767970216
2240,Kepler-1280 b,0.895945,0.659882,0.931025,0.329273,0.7689070024977013,0.5536798667325732,0.6524786024634598
2241,Kepler-1281 b,0.83703,0.571661,0.919331,0.139484,0.6917350698280376,0.35809491088816103,0.4977015252018894
2242,Kepler-1282 b,0.812561,0.534517,0.91356,0.104679,0.6590354072711117,0.3092418911467203,0.451443635105389
2243,Kepler-1283 b,0.903791,0.675475,0.933661,0.094052,0.7813374595685273,0.29633205086861597,0.481181183977944
2244,Kepler-1284 b,0.708733,0.385824,0.885576,0.061416,0.5229208362572675,0.23321349792840038,0.3492165479515563
2245,Kepler-1285 b,0.622067,0.20424,0.80596,0.168123,0.35644209078053624,0.368103807478271,0.3622260216519941
2246,Kepler-1286 b,0.957517,0.761154,0.944035,0.191262,0.8537083194030617,0.4249211952468363,0.602294578651441
2247,Kepler-1287 b,0.809416,0.530254,0.91297,0.230538,0.6551305760411431,0.45877475721752603,0.5482311291499721
2248,Kepler-1288 b,0.677273,0.311154,0.857987,0.080877,0.4590601300940869,0.2634225020741395,0.34774526319112437
2249,Kepler-1289 b,0.806251,0.522432,0.911048,0.153663,0.6490079525183031,0.374158213626268,0.49277952082395843
2253,Kepler-1290 b,0.776845,0.481443,0.904557,0.126017,0.6115607797553732,0.33762339887661813,0.45439765523233494
2254,Kepler-1291 b,0.842963,0.57891,0.920042,0.270314,0.6985697605321891,0.49869853938827613,0.5902336141209009
2255,Kepler-1292 b,0.882566,0.64062,0.92881,0.121346,0.7519238198913504,0.3357191955488992,0.5024293581469732
2256,Kepler-1293 b,0.622067,0.20424,0.80596,0.085817,0.35644209078053624,0.2629925271181674,0.30617251056496964
2258,Kepler-1295 b,0.812561,0.534517,0.91356,0.151681,0.6590354072711117,0.3722495055201552,0.4953035478138082
2259,Kepler-1296 b,0.594688,0.168314,0.784258,0.125518,0.31637685761129875,0.3137490966425242,0.3150602375326748
2260,Kepler-1297 b,0.622067,0.20424,0.80596,0.055133,0.35644209078053624,0.21079609265828433,0.2741105616270313
2261,Kepler-1298 b,0.742085,0.435982,0.897045,0.081917,0.568801988806298,0.27107791364292294,0.39266990768526744
2263,Kepler-130 b,0.639628,0.237176,0.824613,0.149348,0.38949250381490014,0.3509334727893593,0.3697106395401486
2265,Kepler-130 d,0.83703,0.571661,0.919331,0.515409,0.6917350698280376,0.6883541758273861,0.6900425522258596
2266,Kepler-1300 b,0.759753,0.46104,0.901806,0.180523,0.5918416368590503,0.40348076105063546,0.48866830679034573
2267,Kepler-1301 b,0.770075,0.473441,0.903524,0.25161,0.6038088092061923,0.4767973087591833,0.5365579327850811
2268,Kepler-1302 b,0.780197,0.485616,0.90514,0.274501,0.6155291596277142,0.4984594618823079,0.5539100411446787
2269,Kepler-1303 b,0.776845,0.481443,0.904557,0.172588,0.6115607797553732,0.3951147725863967,0.49156555861431517
2270,Kepler-1304 b,0.984268,0.8069,0.949663,0.138513,0.8911822760804884,0.36268536104866433,0.5685233201553146
2271,Kepler-1305 b,0.898575,0.663034,0.931244,0.217641,0.7718716062597457,0.45019648533057205,0.5894861188056939
2272,Kepler-1306 b,0.903791,0.675475,0.933661,0.268607,0.7813374595685273,0.500787260447987,0.6255268546295296
2273,Kepler-1307 b,0.982474,0.866713,0.957167,0.32851,0.9227800322731305,0.5607485454015909,0.7193382798258349
2275,Kepler-1309 b,0.999128,0.833049,0.952889,0.519951,0.9123171495001068,0.703886062114459,0.8013534337363997
2276,Kepler-131 b,0.992605,0.729656,0.9237,0.25053,0.8510347783022736,0.4810556734932039,0.6398399084476832
2277,Kepler-131 c,0.565978,0.964798,0.872023,0.315705,0.7389549664519482,0.5246923109928332,0.6226748662563025
2278,Kepler-1310 b,0.780197,0.489764,0.906769,0.051302,0.6181524112288166,0.215682783823837,0.36513673176119715
2279,Kepler-1311 b,0.720081,0.407169,0.891623,0.138193,0.5414745245060011,0.3510214484030855,0.43596923270509413
2280,Kepler-1311 c,0.712542,0.394442,0.88832,0.058564,0.5301476129947206,0.2280867652451584,0.34773503440178116
2282,Kepler-1312 b,0.945863,0.742284,0.941809,0.158068,0.8379134627704702,0.38583657811565764,0.5685927041674029
2283,Kepler-1312 c,0.643936,0.242516,0.826844,0.063584,0.39517690086339813,0.2292903157483979,0.30101534242533534
2284,Kepler-1313 b,0.868796,0.617347,0.925276,0.156713,0.7323582485450683,0.38079230269006226,0.5280874774670741
2286,Kepler-1315 b,0.763216,0.464913,0.902274,0.087436,0.5956752808435146,0.2808758257023911,0.4090364120190596
2287,Kepler-1315 c,0.890639,0.650328,0.929532,0.268033,0.7610568175846006,0.49914451870775867,0.6163419009953193
2289,Kepler-1317 b,0.815686,0.538368,0.913999,0.056694,0.6626758185176217,0.22763624339283056,0.3883928860247321
2291,Kepler-1319 b,0.752756,0.448407,0.898836,0.310678,0.5809828394126628,0.5284397513510882,0.5540888260906158
2292,Kepler-132 b,0.708733,0.385824,0.885576,0.128286,0.5229208362572675,0.33705637916526665,0.4198259206611091
2293,Kepler-132 c,0.731196,0.423782,0.89533,0.129891,0.5566576176358319,0.34102098033698747,0.4356970581473133
2294,Kepler-132 d,0.812561,0.534517,0.91356,0.227701,0.6590354072711117,0.45609047957614723,0.5482515617487494
2295,Kepler-132 e,0.697144,0.359812,0.876896,0.528401,0.5008400712083648,0.68070017136475,0.5838851961626254
2296,Kepler-1320 b,0.854615,0.593162,0.921396,0.096725,0.711986757341736,0.2985331273075067,0.46103322360840693
2298,Kepler-1321 c,0.994658,0.844517,0.954372,0.166521,0.9165181886825814,0.3986514515363013,0.6044595158302438
2300,Kepler-1322 b,0.831025,0.556911,0.915946,0.056546,0.6802991722580588,0.22758093618754627,0.39347569494201523
2301,Kepler-1322 c,0.957517,0.761154,0.944035,0.168794,0.8537083194030617,0.39918347133868154,0.583769004358767
2302,Kepler-1323 b,0.806251,0.522432,0.911048,0.038774,0.6490079525183031,0.18794939518923706,0.34925728646489274
2303,Kepler-1324 b,0.803066,0.51809,0.910418,0.21841,0.6450274908405067,0.44591971853686846,0.5363119215196892
2306,Kepler-1327 b,0.879844,0.634061,0.927474,0.239399,0.7469101461916285,0.4712073302973968,0.5932533488813996
2307,Kepler-1328 b,0.622067,0.210459,0.810914,0.103222,0.3618281342751003,0.2893167207542626,0.32354741427664824
2308,Kepler-1329 b,0.962093,0.76643,0.94425,0.339656,0.8587065494043934,0.5663216206361894,0.6973550635864101
2309,Kepler-133 b,0.868796,0.617347,0.925276,0.126683,0.7323582485450683,0.3423693028120366,0.5007364406182351
2311,Kepler-1330 b,0.840006,0.575296,0.919689,0.132139,0.6951633561804017,0.34860692014215666,0.49227914499167535
2312,Kepler-1331 b,0.652456,0.258296,0.834523,0.102679,0.4105201273701449,0.2927251050337159,0.34665479573039243
2313,Kepler-1332 b,0.759753,0.46104,0.901806,0.242092,0.5918416368590503,0.46724727730827925,0.525867277380963
2315,Kepler-1334 b,0.984268,0.8069,0.949663,0.247813,0.8911822760804884,0.4851173435561751,0.6575165232878276
